ENSG,Pathway,pathways_grouped,PathwayGroup,Gene_name
ENSG00000119673,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT2
ENSG00000177465,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT4
ENSG00000097021,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT7
ENSG00000101473,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT8
ENSG00000184227,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT1
ENSG00000136881,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,BAAT
ENSG00000205669,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT6
ENSG00000123130,Acyl-CoA hydrolysis,Acyl-CoA hydrolysis,Carbohydrate Metabolism,ACOT9
ENSG00000170835,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,CEL
ENSG00000074416,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MGLL
ENSG00000100344,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNPLA3
ENSG00000100997,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,ABHD12
ENSG00000115884,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,SDC1
ENSG00000134780,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DAGLA
ENSG00000142798,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,HSPG2
ENSG00000163686,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,ABHD6
ENSG00000164535,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DAGLB
ENSG00000175445,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LPL
ENSG00000177666,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNPLA2
ENSG00000185000,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGAT1
ENSG00000277494,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,GPIHBP1
ENSG00000114771,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,AADAC
ENSG00000006757,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNPLA4
ENSG00000062282,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGAT2
ENSG00000079435,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPE
ENSG00000101670,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPG
ENSG00000166035,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPC
ENSG00000175535,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIP
ENSG00000182333,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,LIPF
ENSG00000187021,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIPRP1
ENSG00000203837,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIPRP3
ENSG00000266200,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,PNLIPRP2
ENSG00000115159,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,GPD2
ENSG00000058866,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKG
ENSG00000065357,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKA
ENSG00000077044,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKD
ENSG00000102780,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKH
ENSG00000106384,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MOGAT3
ENSG00000116906,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,GNPAT
ENSG00000124003,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MOGAT1
ENSG00000136267,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKB
ENSG00000145214,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKQ
ENSG00000149091,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKZ
ENSG00000153933,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKE
ENSG00000157680,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKI
ENSG00000166391,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,MOGAT2
ENSG00000274588,Acylglycerides metabolism,Acylglycerides metabolism,Lipid Metabolism,DGKK
ENSG00000006625,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GGCT
ENSG00000104687,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GSR
ENSG00000134864,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GGACT
ENSG00000183044,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ABAT
ENSG00000120053,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GOT1
ENSG00000125166,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GOT2
ENSG00000159423,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ALDH4A1
ENSG00000161653,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,NAGS
ENSG00000132744,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ACY3
ENSG00000166123,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GPT2
ENSG00000167701,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GPT
ENSG00000109576,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,AADAT
ENSG00000137944,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,KYAT3
ENSG00000169154,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GOT1L1
ENSG00000171097,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,KYAT1
ENSG00000198650,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,TAT
ENSG00000128683,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GAD1
ENSG00000136750,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GAD2
ENSG00000134333,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,LDHA
ENSG00000112294,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ALDH5A1
ENSG00000091483,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,FH
ENSG00000021826,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,CPS1
ENSG00000070669,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASNS
ENSG00000108381,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASPA
ENSG00000114021,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,NIT2
ENSG00000115419,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLS
ENSG00000126522,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASL
ENSG00000130707,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASS1
ENSG00000135423,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLS2
ENSG00000135821,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLUL
ENSG00000137261,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,KIAA0319
ENSG00000146166,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,LGSN
ENSG00000147471,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,PLPBP
ENSG00000148672,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLUD1
ENSG00000162174,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASRGL1
ENSG00000166183,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,ASPG
ENSG00000182890,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,GLUD2
ENSG00000185818,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,NAT8L
ENSG00000203797,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,DDO
ENSG00000241258,"Alanine, aspartate and glutamate metabolism","Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism,CRCP
ENSG00000049860,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,HEXB
ENSG00000169660,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,HEXD
ENSG00000213614,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,HEXA
ENSG00000111261,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,MANSC1
ENSG00000133048,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,CHI3L1
ENSG00000133063,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,CHIT1
ENSG00000134216,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,CHIA
ENSG00000156510,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,HKDC1
ENSG00000156515,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,HK1
ENSG00000159399,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,HK2
ENSG00000160883,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,HK3
ENSG00000106633,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GCK
ENSG00000013375,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,PGM3
ENSG00000088451,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,TGDS
ENSG00000095380,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,NANS
ENSG00000100522,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GNPNAT1
ENSG00000102032,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,RENBP
ENSG00000111726,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,CMAS
ENSG00000113552,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GNPDA1
ENSG00000115652,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,UXS1
ENSG00000117143,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,UAP1
ENSG00000117308,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GALE
ENSG00000124357,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,NAGK
ENSG00000131459,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GFPT2
ENSG00000135838,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,NPL
ENSG00000159921,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GNE
ENSG00000162066,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,AMDHD2
ENSG00000163281,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GNPDA2
ENSG00000170191,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,NANP
ENSG00000197355,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,UAP1L1
ENSG00000198380,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,GFPT1
ENSG00000205923,Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Carbohydrate Metabolism,CEMP1
ENSG00000166986,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,MARS1
ENSG00000031698,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,SARS1
ENSG00000065427,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,KARS1
ENSG00000090861,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,AARS1
ENSG00000103707,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,MTFMT
ENSG00000106105,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,GARS1
ENSG00000110619,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,CARS1
ENSG00000113407,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,TARS1
ENSG00000113643,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,RARS1
ENSG00000115866,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,DARS1
ENSG00000116120,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,FARSB
ENSG00000133706,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,LARS1
ENSG00000134440,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,NARS1
ENSG00000134684,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,YARS1
ENSG00000136628,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,EPRS1
ENSG00000140105,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,WARS1
ENSG00000170445,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,HARS1
ENSG00000172053,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,QARS1
ENSG00000179115,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,FARSA
ENSG00000196305,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,IARS1
ENSG00000204394,Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,Amino Acid Metabolism,VARS1
ENSG00000132196,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B7
ENSG00000088002,Androgen metabolism,Androgen metabolism,Lipid Metabolism,SULT2B1
ENSG00000101846,Androgen metabolism,Androgen metabolism,Lipid Metabolism,STS
ENSG00000025423,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B6
ENSG00000187134,Androgen metabolism,Androgen metabolism,Lipid Metabolism,AKR1C1
ENSG00000198189,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B11
ENSG00000198610,Androgen metabolism,Androgen metabolism,Lipid Metabolism,AKR1C4
ENSG00000204228,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B8
ENSG00000086696,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B2
ENSG00000108786,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B1
ENSG00000109193,Androgen metabolism,Androgen metabolism,Lipid Metabolism,SULT1E1
ENSG00000149084,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B12
ENSG00000151632,Androgen metabolism,Androgen metabolism,Lipid Metabolism,AKR1C2
ENSG00000196139,Androgen metabolism,Androgen metabolism,Lipid Metabolism,AKR1C3
ENSG00000128039,Androgen metabolism,Androgen metabolism,Lipid Metabolism,SRD5A3
ENSG00000145545,Androgen metabolism,Androgen metabolism,Lipid Metabolism,SRD5A1
ENSG00000148795,Androgen metabolism,Androgen metabolism,Lipid Metabolism,CYP17A1
ENSG00000203857,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD3B1
ENSG00000203859,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD3B2
ENSG00000277893,Androgen metabolism,Androgen metabolism,Lipid Metabolism,SRD5A2
ENSG00000122787,Androgen metabolism,Androgen metabolism,Lipid Metabolism,AKR1D1
ENSG00000130948,Androgen metabolism,Androgen metabolism,Lipid Metabolism,HSD17B3
ENSG00000197580,Androgen metabolism,Androgen metabolism,Lipid Metabolism,BCO2
ENSG00000116157,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX7
ENSG00000117592,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,PRDX6
ENSG00000164294,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX8
ENSG00000167468,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX4
ENSG00000176153,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX2
ENSG00000198704,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX6
ENSG00000211445,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX3
ENSG00000224586,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX5
ENSG00000233276,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GPX1
ENSG00000133835,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,HSD17B4
ENSG00000186526,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4F8
ENSG00000060971,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACAA1
ENSG00000073756,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,PTGS2
ENSG00000095303,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,PTGS1
ENSG00000130304,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,SLC27A1
ENSG00000138029,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,HADHB
ENSG00000140284,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,SLC27A2
ENSG00000140465,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP1A1
ENSG00000143554,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,SLC27A3
ENSG00000161533,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACOX1
ENSG00000167114,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,SLC27A4
ENSG00000167315,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACAA2
ENSG00000187048,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4A11
ENSG00000197448,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTK1
ENSG00000213366,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTM2
ENSG00000008394,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,MGST1
ENSG00000065621,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTO2
ENSG00000084207,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTP1
ENSG00000085871,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,MGST2
ENSG00000099984,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTT2
ENSG00000100577,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTZ1
ENSG00000133433,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTT2B
ENSG00000134184,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTM1
ENSG00000134201,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTM5
ENSG00000134202,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTM3
ENSG00000143198,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,MGST3
ENSG00000148834,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTO1
ENSG00000163106,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,HPGDS
ENSG00000168765,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTM4
ENSG00000170899,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTA4
ENSG00000174156,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTA3
ENSG00000182793,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTA5
ENSG00000243955,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTA1
ENSG00000244067,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,GSTA2
ENSG00000084754,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,HADHA
ENSG00000127884,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ECHS1
ENSG00000131238,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,PPT1
ENSG00000221988,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,PPT2
ENSG00000241404,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,EGFL8
ENSG00000021461,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP3A43
ENSG00000100197,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2D6
ENSG00000106258,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP3A5
ENSG00000108242,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2C18
ENSG00000130649,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2E1
ENSG00000134716,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2J2
ENSG00000137869,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP19A1
ENSG00000138061,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP1B1
ENSG00000138109,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2C9
ENSG00000138115,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2C8
ENSG00000140505,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP1A2
ENSG00000142973,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4B1
ENSG00000155016,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2U1
ENSG00000157326,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,DHRS4
ENSG00000160868,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP3A4
ENSG00000160870,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP3A7
ENSG00000165841,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2C19
ENSG00000167600,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2S1
ENSG00000171903,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4F11
ENSG00000186160,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4Z1
ENSG00000186204,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4F12
ENSG00000186377,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4X1
ENSG00000197408,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2B6
ENSG00000197446,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2F1
ENSG00000197838,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2A13
ENSG00000198077,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2A7
ENSG00000255974,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP2A6
ENSG00000087008,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACOX3
ENSG00000119673,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACOT2
ENSG00000177465,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACOT4
ENSG00000149084,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,HSD17B12
ENSG00000282301,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP3A7-CYP3A51P
ENSG00000072506,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,HSD17B10
ENSG00000097021,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACOT7
ENSG00000101473,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACOT8
ENSG00000138796,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,HADH
ENSG00000184227,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,ACOT1
ENSG00000186115,Arachidonic acid metabolism,Arachidonic acid metabolism,Lipid Metabolism,CYP4F2
